influencer_id,influencer_name,follower_id,follower_name,action,dynamic_influence
754032,The Beatles,253861,Jon Anderson,1,53.481178286346925
754032,The Beatles,167296,Caravan,1,53.481178286346925
754032,The Beatles,99888,The Knickerbockers,1,53.481178286346925
754032,The Beatles,109012,It's a Beautiful Day,1,53.481178286346925
754032,The Beatles,1032454,Jigsaw,1,53.481178286346925
754032,The Beatles,486115,The Rockin' Berries,1,53.481178286346925
754032,The Beatles,520975,Tommy James & the Shondells,1,53.481178286346925
754032,The Beatles,137401,The Cyrkle,1,33.74286663691604
754032,The Beatles,777466,J.K. & Co.,1,33.74286663691604
754032,The Beatles,145086,The Easybeats,1,33.74286663691604
754032,The Beatles,937397,Brooklyn Bridge,1,33.74286663691604
754032,The Beatles,171994,Joe South,1,33.74286663691604
754032,The Beatles,334054,Marmalade,1,33.74286663691604
754032,The Beatles,847880,Phil Keaggy,1,33.74286663691604
754032,The Beatles,517796,Brian Poole & the Tremeloes,1,26.740589143173462
754032,The Beatles,660401,Gary Glitter,1,26.740589143173462
754032,The Beatles,406575,The Outsiders,1,26.740589143173462
754032,The Beatles,98467,Klaatu,1,26.740589143173462
754032,The Beatles,799644,Chad & Jeremy,1,26.740589143173462
754032,The Beatles,692251,The Youngbloods,1,26.740589143173462
754032,The Beatles,2285572,Manfred Mann,1,26.740589143173462
754032,The Beatles,772191,The Bonzo Dog Band,1,26.740589143173462
754032,The Beatles,767129,The Heartbeats,1,26.740589143173462
104714,Kraftwerk,318966,Martin Gore,1,25.235356674399068
754032,The Beatles,186805,Eric Carmen,1,23.03308978607338
754032,The Beatles,852405,Rotary Connection,1,23.03308978607338
754032,The Beatles,920101,The United States of America,1,23.03308978607338
754032,The Beatles,838241,Van Dyke Parks,1,23.03308978607338
754032,The Beatles,921359,The Tremeloes,1,23.03308978607338
754032,The Beatles,195305,Focus,1,20.68934395428432
754032,The Beatles,3595,Andrew Lloyd Webber,1,20.68934395428432
754032,The Beatles,132579,Larry Norman,1,20.68934395428432
754032,The Beatles,497132,Milton Nascimento,1,20.68934395428432
754032,The Beatles,897214,The Rutles,1,20.68934395428432
754032,The Beatles,814852,John Sebastian,1,20.68934395428432
754032,The Beatles,41899,The Blues Project,1,20.68934395428432
754032,The Beatles,79392,Keith Green,1,20.68934395428432
754032,The Beatles,887619,Renaissance,1,20.68934395428432
754032,The Beatles,962339,Dave Mason,1,20.68934395428432
754032,The Beatles,342691,Pilot,1,20.68934395428432
754032,The Beatles,746182,Translator,1,20.68934395428432
754032,The Beatles,391285,Michael Card,1,20.68934395428432
66915,Bob Dylan,73553,Bill Fay,1,20.54090798900636
66915,Bob Dylan,24568,Shirley Collins,1,20.54090798900636
66915,Bob Dylan,31022,Jim Morrison,1,20.54090798900636
66915,Bob Dylan,171994,Joe South,1,20.54090798900636
894465,The Rolling Stones,1620705,The Outsiders,1,19.35687251306928
754032,The Beatles,814036,Davy Graham,1,19.050380080602274
754032,The Beatles,652255,Gilberto Gil,1,19.050380080602274
754032,The Beatles,809357,Jan Hammer,1,19.050380080602274
754032,The Beatles,816900,Warren Zevon,1,19.050380080602274
754032,The Beatles,405522,The Mothers of Invention,1,19.050380080602274
754032,The Beatles,37026,The Bellamy Brothers,1,19.050380080602274
754032,The Beatles,129761,Jimmy Webb,1,19.050380080602274
754032,The Beatles,123915,Christine McVie,1,19.050380080602274
754032,The Beatles,122381,Jacques Dutronc,1,19.050380080602274
754032,The Beatles,785611,The Dave Clark Five,1,19.050380080602274
754032,The Beatles,644880,David Crosby,1,19.050380080602274
79016,Billie Holiday,259529,Lester Young,1,18.02264707148424
754032,The Beatles,228266,Jeff Lynne,1,17.82705942878231
754032,The Beatles,489520,Mike Oldfield,1,17.82705942878231
754032,The Beatles,83859,Kevin Coyne,1,17.82705942878231
754032,The Beatles,110341,The Creation,1,17.82705942878231
754032,The Beatles,99561,The Incredible String Band,1,17.82705942878231
754032,The Beatles,1176481,The Alan Parsons Project,1,17.82705942878231
754032,The Beatles,669303,Golden Earring,1,17.82705942878231
754032,The Beatles,195237,Delaney & Bonnie,1,17.82705942878231
754032,The Beatles,483716,The Vapors,1,17.82705942878231
754032,The Beatles,219655,Little River Band,1,17.82705942878231
754032,The Beatles,482572,The West Coast Pop Art Experimental Band,1,17.82705942878231
754032,The Beatles,469286,The Music Machine,1,17.82705942878231
754032,The Beatles,417607,The Red Krayola,1,17.82705942878231
754032,The Beatles,683085,"Dave Dee, Dozy, Beaky, Mick & Tich",1,17.82705942878231
754032,The Beatles,404345,The Monks,1,17.82705942878231
754032,The Beatles,314600,Love,1,17.82705942878231
754032,The Beatles,371879,Pure Prairie League,1,17.82705942878231
754032,The Beatles,321321,Lulu,1,17.82705942878231
754032,The Beatles,788568,The Dillards,1,17.82705942878231
816890,Johnny Cash,454240,Red Sovine,1,17.744032756899866
754032,The Beatles,488378,Os Mutantes,1,16.87143331845802
754032,The Beatles,895365,The Producers,1,16.87143331845802
754032,The Beatles,932858,Tom Z̩,1,16.87143331845802
754032,The Beatles,125465,Barclay James Harvest,1,16.87143331845802
754032,The Beatles,194743,Grace Slick,1,16.87143331845802
754032,The Beatles,345427,Roy Harper,1,16.87143331845802
754032,The Beatles,487219,The Wonder Stuff,1,16.87143331845802
754032,The Beatles,394806,Randy Newman,1,16.87143331845802
754032,The Beatles,153590,Graham Nash,1,16.87143331845802
754032,The Beatles,135543,The Electric Prunes,1,16.87143331845802
754032,The Beatles,945196,Gerry Rafferty,1,16.87143331845802
754032,The Beatles,404434,The Moody Blues,1,16.87143331845802
754032,The Beatles,287917,Lindsey Buckingham,1,16.87143331845802
754032,The Beatles,46120,The Amboy Dukes,1,16.87143331845802
754032,The Beatles,582930,David Gilmour,1,16.87143331845802
754032,The Beatles,771010,The Left Banke,1,16.87143331845802
754032,The Beatles,2411,Tangerine Dream,1,16.87143331845802
754032,The Beatles,763611,The Godz,1,16.87143331845802
754032,The Beatles,29067,The Action,1,16.87143331845802
754032,The Beatles,34094,The Archies,1,16.87143331845802
754032,The Beatles,657041,Glenn Frey,1,16.87143331845802
754032,The Beatles,633079,Strawberry Alarm Clock,1,16.87143331845802
754032,The Beatles,100160,The Kinks,1,16.87143331845802
754032,The Beatles,834466,Roger McGuinn,1,16.87143331845802
754032,The Beatles,560208,Harry Nilsson,1,16.87143331845802
66915,Bob Dylan,12877,Stealers Wheel,1,16.27828444666935
66915,Bob Dylan,692251,The Youngbloods,1,16.27828444666935
66915,Bob Dylan,2285572,Manfred Mann,1,16.27828444666935
66915,Bob Dylan,509524,Al Kooper,1,16.27828444666935
754032,The Beatles,23925,Stephen Bishop,1,16.099438867643624
754032,The Beatles,243012,Rockpile,1,16.099438867643624
754032,The Beatles,405494,The Motors,1,16.099438867643624
754032,The Beatles,564239,The Turtles,1,16.09943886764362
754032,The Beatles,403184,The Osmonds,1,16.09943886764362
754032,The Beatles,745241,Status Quo,1,16.09943886764362
754032,The Beatles,573870,The Troggs,1,16.09943886764362
754032,The Beatles,257544,Van der Graaf Generator,1,16.09943886764362
754032,The Beatles,110161,Chicago,1,16.09943886764362
754032,The Beatles,304401,Procol Harum,1,16.09943886764362
754032,The Beatles,776562,Colin Blunstone,1,16.09943886764362
754032,The Beatles,52900,The Lovin' Spoonful,1,16.09943886764362
754032,The Beatles,674662,Manfred Mann,1,16.09943886764362
754032,The Beatles,501692,1910 Fruitgum Company,1,16.09943886764362
754032,The Beatles,127451,Jackie DeShannon,1,16.09943886764362
754032,The Beatles,840102,Jefferson Airplane,1,16.09943886764362
754032,The Beatles,595101,Tim Buckley,1,16.09943886764362
754032,The Beatles,135032,The Beau Brummels,1,16.09943886764362
754032,The Beatles,582024,The Walker Brothers,1,16.09943886764362
754032,The Beatles,784760,The Cowsills,1,15.45952751261887
754032,The Beatles,755494,Silver Apples,1,15.45952751261887
754032,The Beatles,64303,Badfinger,1,15.45952751261887
754032,The Beatles,645612,Can,1,15.45952751261887
754032,The Beatles,463435,Michael Nesmith,1,15.45952751261887
754032,The Beatles,800926,Emitt Rhodes,1,15.45952751261887
754032,The Beatles,128266,Country Joe & the Fish,1,15.45952751261887
754032,The Beatles,898828,The Searchers,1,15.45952751261887
754032,The Beatles,414745,Nils Lofgren,1,15.45952751261887
754032,The Beatles,311674,Vanilla Fudge,1,15.45952751261887
754032,The Beatles,746010,Spirit,1,15.45952751261887
754032,The Beatles,500664,The Seeds,1,15.45952751261887
754032,The Beatles,130689,Jackson Browne,1,14.918197408086856
754032,The Beatles,541125,Gerry & the Pacemakers,1,14.918197408086856
754032,The Beatles,521704,Yoko Ono,1,14.918197408086856
754032,The Beatles,5882,T. Rex,1,14.918197408086856
754032,The Beatles,28772,The 5th Dimension,1,14.918197408086856
754032,The Beatles,130932,Crazy Horse,1,14.918197408086856
754032,The Beatles,194036,Gene Clark,1,14.918197408086856
754032,The Beatles,21744,Stephen Stills,1,14.918197408086856
754032,The Beatles,753685,Soft Machine,1,14.918197408086856
754032,The Beatles,19133,Ambrosia,1,14.918197408086856
754032,The Beatles,199995,Genesis,1,14.918197408086856
754032,The Beatles,2330,Sergio Mendes,1,14.918197408086856
754032,The Beatles,42993,Sonny & Cher,1,14.918197408086856
754032,The Beatles,173487,Joey Ramone,1,14.918197408086856
754032,The Beatles,596126,Mott the Hoople,1,14.918197408086856
754032,The Beatles,271113,Jos̩ Feliciano,1,14.918197408086856
754032,The Beatles,923618,The Standells,1,14.918197408086856
754032,The Beatles,575051,Herman's Hermits,1,14.918197408086856
754032,The Beatles,628981,The Buckinghams,1,14.918197408086856
754032,The Beatles,639397,Caetano Veloso,1,14.918197408086856
754032,The Beatles,61480,The Guess Who,1,14.918197408086856
754032,The Beatles,457692,Off Broadway,1,14.918197408086856
754032,The Beatles,1019633,Matt Simons,1,14.918197408086856
754032,The Beatles,424244,Ozzy Osbourne,1,14.918197408086856
754032,The Beatles,152312,Jack Bruce,1,14.918197408086856
754032,The Beatles,831381,Robin Trower,1,14.918197408086856
