id,label
Townes Van Zandt,Townes Van Zandt
Johnny Cash,Johnny Cash
Elmore James,Elmore James
Merle Haggard,Merle Haggard
Miles Davis,Miles Davis
John Barry,John Barry
Neil Young,Neil Young
Stevie Wonder,Stevie Wonder
Amy Grant,Amy Grant
Led Zeppelin,Led Zeppelin
Frank Sinatra,Frank Sinatra
John Cage,John Cage
Fela Kuti,Fela Kuti
Kraftwerk,Kraftwerk
Howlin' Wolf,Howlin' Wolf
Sam Cooke,Sam Cooke
Curtis Mayfield,Curtis Mayfield
The Rolling Stones,The Rolling Stones
Marvin Gaye,Marvin Gaye
Hank Williams,Hank Williams
Bill Monroe,Bill Monroe
John Coltrane,John Coltrane
Nat King Cole,Nat King Cole
Fred Neil,Fred Neil
B.B. King,B.B. King
Astrud Gilberto,Astrud Gilberto
Thelonious Monk,Thelonious Monk
Aphex Twin,Aphex Twin
Peter Tosh,Peter Tosh
The Beatles,The Beatles
Toots & the Maytals,Toots & the Maytals
Neu!,Neu!
Loretta Lynn,Loretta Lynn
Chuck Berry,Chuck Berry
Ornette Coleman,Ornette Coleman
Dizzy Gillespie,Dizzy Gillespie
Woody Guthrie,Woody Guthrie
George Jones,George Jones
Tito Puente,Tito Puente
Bob Dylan,Bob Dylan
Massive Attack,Massive Attack
Philip Glass,Philip Glass
Jimi Hendrix,Jimi Hendrix
The Byrds,The Byrds
Pink Floyd,Pink Floyd
Prince,Prince
Billie Holiday,Billie Holiday
Brian Eno,Brian Eno
The Who,The Who
Muddy Waters,Muddy Waters
Tangerine Dream,Tangerine Dream
Jimmy Cliff,Jimmy Cliff
Pete Seeger,Pete Seeger
Mike Oldfield,Mike Oldfield
Henry Mancini,Henry Mancini
Willie Nelson,Willie Nelson
The Skatalites,The Skatalites
King Tubby,King Tubby
Sarah Vaughan,Sarah Vaughan
Michael Jackson,Michael Jackson
The Clash,The Clash
Elvis Presley,Elvis Presley
Dolly Parton,Dolly Parton
Ella Fitzgerald,Ella Fitzgerald
Harold Budd,Harold Budd
Steve Reich,Steve Reich
Otis Redding,Otis Redding
The Beach Boys,The Beach Boys
Patsy Cline,Patsy Cline
Al Green,Al Green
James Cleveland,James Cleveland
Black Sabbath,Black Sabbath
The Kinks,The Kinks
Charlie Parker,Charlie Parker
Daft Punk,Daft Punk
Louis Jordan,Louis Jordan
Ravi Shankar,Ravi Shankar
Andra̩ Crouch,Andra̩ Crouch
David Bowie,David Bowie
Sly & the Family Stone,Sly & the Family Stone
James Brown,James Brown
Ant̫nio Carlos Jobim,Ant̫nio Carlos Jobim
Dinah Washington,Dinah Washington
Joni Mitchell,Joni Mitchell
Joan Baez,Joan Baez
Spike Jones,Spike Jones
Moondog,Moondog
Buddy Guy,Buddy Guy
Aretha Franklin,Aretha Franklin
The Velvet Underground,The Velvet Underground
Jimmy Reed,Jimmy Reed
T-Bone Walker,T-Bone Walker
Nina Simone,Nina Simone
John Lee Hooker,John Lee Hooker
Ray Charles,Ray Charles
"Lee ""Scratch"" Perry","Lee ""Scratch"" Perry"
Smokey Robinson,Smokey Robinson
Ennio Morricone,Ennio Morricone
Terry Riley,Terry Riley
