Source,Target,Type,Weight
The Beatles,Kraftwerk,Directed,12.825453279818847
The Beatles,Jimi Hendrix,Directed,10.602101465685768
The Beatles,David Bowie,Directed,11.377909619804125
The Beatles,Led Zeppelin,Directed,11.51654489303669
The Beatles,Tangerine Dream,Directed,16.87143331845802
The Beatles,Mike Oldfield,Directed,17.82705942878231
The Beatles,Michael Jackson,Directed,11.992823942592391
The Beatles,The Kinks,Directed,16.87143331845802
The Beatles,The Beach Boys,Directed,14.046806610150275
The Beatles,Prince,Directed,8.848062722293726
The Beatles,Joan Baez,Directed,13.370294571586733
The Beatles,Black Sabbath,Directed,14.45265491670084
The Beatles,Brian Eno,Directed,10.696235657269382
The Beatles,Townes Van Zandt,Directed,13.084199260876273
The Beatles,Pink Floyd,Directed,13.084199260876273
The Beatles,The Byrds,Directed,12.176073161058689
The Beatles,Sly & the Family Stone,Directed,13.370294571586733
The Beatles,The Who,Directed,12.176073161058689
The Beatles,Neil Young,Directed,10.696235657269382
Bob Dylan,The Beatles,Directed,6.51131377866774
Bob Dylan,The Rolling Stones,Directed,6.117438701326113
Bob Dylan,Stevie Wonder,Directed,9.081425227401839
Bob Dylan,Jimi Hendrix,Directed,6.454009762718392
Bob Dylan,David Bowie,Directed,6.926281549295991
Bob Dylan,Willie Nelson,Directed,7.664106506126959
Bob Dylan,The Velvet Underground,Directed,10.27045399450318
Bob Dylan,Joan Baez,Directed,8.139142223334675
Bob Dylan,Townes Van Zandt,Directed,7.964982229264686
Bob Dylan,Pink Floyd,Directed,7.964982229264686
Bob Dylan,The Byrds,Directed,7.412162136665906
Bob Dylan,Joni Mitchell,Directed,7.807471089306855
Bob Dylan,Neil Young,Directed,6.51131377866774
Bob Dylan,The Clash,Directed,5.657203356468656
Marvin Gaye,Michael Jackson,Directed,4.876560075089313
Marvin Gaye,Massive Attack,Directed,4.211254203548674
Marvin Gaye,Prince,Directed,4.01596230069867
Marvin Gaye,Toots & the Maytals,Directed,5.5380238604749845
Marvin Gaye,Al Green,Directed,4.544781945566399
Kraftwerk,David Bowie,Directed,5.368722542489923
Kraftwerk,Neu!,Directed,8.989015416655347
Kraftwerk,Aphex Twin,Directed,4.385030405010037
Miles Davis,James Brown,Directed,4.777036834885112
Miles Davis,"Lee ""Scratch"" Perry",Directed,5.20946118330711
Miles Davis,John Coltrane,Directed,5.971296043606388
Miles Davis,Tangerine Dream,Directed,5.0232911217263965
Miles Davis,Fela Kuti,Directed,5.437945821163993
Miles Davis,Brian Eno,Directed,3.9808640290709274
Miles Davis,Sly & the Family Stone,Directed,4.276695532215551
Muddy Waters,The Rolling Stones,Directed,2.986939037243303
Muddy Waters,Jimi Hendrix,Directed,3.1119854200487995
Muddy Waters,Led Zeppelin,Directed,3.3120985167653565
Muddy Waters,Fred Neil,Directed,3.99047590443502
Muddy Waters,Chuck Berry,Directed,4.389049191795735
Muddy Waters,Pink Floyd,Directed,3.6369735875309823
Muddy Waters,Jimmy Reed,Directed,6.876820381997246
Muddy Waters,B.B. King,Directed,5.9635406680240335
Muddy Waters,Buddy Guy,Directed,3.99047590443502
James Brown,Miles Davis,Directed,5.035486883798264
James Brown,The Rolling Stones,Directed,3.2557101593379616
James Brown,"Lee ""Scratch"" Perry",Directed,5.145591381282217
James Brown,Stevie Wonder,Directed,4.4891022602456445
James Brown,Jimi Hendrix,Directed,3.4051991181729004
James Brown,Michael Jackson,Directed,3.770056475268452
James Brown,Peter Tosh,Directed,4.4891022602456445
James Brown,Jimmy Cliff,Directed,4.4891022602456445
James Brown,Fela Kuti,Directed,5.40594873514066
James Brown,Prince,Directed,3.1047304745662787
James Brown,Toots & the Maytals,Directed,4.28143248394054
James Brown,Smokey Robinson,Directed,5.5621404732593165
James Brown,Al Green,Directed,3.513559627839087
James Brown,Sly & the Family Stone,Directed,4.116473105025774
James Brown,The Who,Directed,3.816979586213305
James Brown,Curtis Mayfield,Directed,5.40594873514066
James Brown,King Tubby,Directed,5.40594873514066
